,loss≥0%,loss≥5%,loss≥10%,loss≥15%,loss≥20%,loss≥25%,loss≥30%,loss≥35%,loss≥40%,loss≥45%,loss≥50%
speedup≥0%,0.6885245901639344,0.2786885245901639,0.1557377049180328,0.09836065573770492,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.00819672131147541,0.0,0.0
speedup≥5%,0.6885245901639344,0.2786885245901639,0.1557377049180328,0.09836065573770492,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.00819672131147541,0.0,0.0
speedup≥10%,0.6639344262295082,0.27049180327868855,0.14754098360655737,0.09016393442622951,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.00819672131147541,0.0,0.0
speedup≥15%,0.6639344262295082,0.27049180327868855,0.14754098360655737,0.09016393442622951,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.00819672131147541,0.0,0.0
speedup≥20%,0.6475409836065574,0.26229508196721313,0.14754098360655737,0.09016393442622951,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.00819672131147541,0.0,0.0
speedup≥25%,0.6475409836065574,0.26229508196721313,0.14754098360655737,0.09016393442622951,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.00819672131147541,0.0,0.0
speedup≥30%,0.6147540983606558,0.26229508196721313,0.14754098360655737,0.09016393442622951,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.00819672131147541,0.0,0.0
speedup≥35%,0.6065573770491803,0.26229508196721313,0.14754098360655737,0.09016393442622951,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.00819672131147541,0.0,0.0
speedup≥40%,0.5901639344262295,0.2540983606557377,0.14754098360655737,0.09016393442622951,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.00819672131147541,0.0,0.0
speedup≥45%,0.5737704918032787,0.2459016393442623,0.13934426229508196,0.09016393442622951,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.00819672131147541,0.0,0.0
speedup≥50%,0.5573770491803278,0.2459016393442623,0.13934426229508196,0.09016393442622951,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.00819672131147541,0.0,0.0
